VAP,VSL,VCL,ALH,BCF,STR,LIN,BLAST_D8
77,66.1,145.3,5.6,37.8,84,47,39.241
96.1,73.2,182.8,9.1,24.6,76,43,19.298
99.7,79.4,206.4,8.8,34.8,78,40,31.818
82.7,63.4,170.2,7.4,30.8,77,40,16.438
82.6,68.6,154.1,7,33.8,82,47,26.667
93.5,78.6,178.5,5.8,43.7,83,46,20.588
76.5,59.1,155,59.1,33,78,44,10.127
105.6,82,218.9,9.5,32.4,78,40,12.821
97.9,77,168.6,6,38.5,81,50,16.438
130.5,110.5,224.7,8.7,31.8,82,49,23.81
87.9,73.3,162.8,5.5,42.6,85,48,22.078
101.2,79.4,219.1,9.6,30.9,78,38,25.333
101.8,93.1,147.3,4.9,39.4,89,62,33.766
87.1,78.9,140.6,5.3,36.7,89,59,36.111
95,84.8,156.3,5.1,44.1,88,55,37.313
79,64.3,146,5.8,34.5,82,47,25.714
81,68.9,149.3,6.8,32.9,84,48,22.388
95.8,74.5,198,9.2,28.2,77,39,27.273
90.5,75.1,169.2,7.3,32.3,79,44,25.61
73,57.3,136,6.1,36.4,76,42,39.241
85.4,72.1,163.7,7.3,33.3,83,45,36.986
110.8,96,186,7.1,37.3,82,50,42.683
94.1,72.3,194.1,9.3,28.2,75,39,38.462
103.3,79.5,216.2,9.6,29.9,76,38,31.944
82.9,62,187.8,9.5,26.6,75,36,25.333
88.6,62.3,212.6,9.8,29.4,71,31,31.25
113.9,91.4,240.3,11.2,29.7,78,38,17.91
90.6,70.4,188.7,8.2,31.5,76,38,8.861
97.3,75.1,200.9,7.7,37.4,78,40,16.176
96.7,68,215.8,8.6,30.2,72,33,27.273
135.3,128.6,173.2,4.3,45.4,94,75,17.808
73.9,60.7,150.4,6.6,33.1,82,44,13.115
115.9,98.8,210.6,8.9,32.3,84,47,4.167
94.9,80.3,173.2,8.5,29.9,82,48,17.172
90,74.4,157,7.1,33.5,81,49,9.859
109.7,88.6,201.6,9.1,31.8,79,44,6.944
108.7,89.7,192.9,9.2,26.6,79,45,4.706
73.3,54.7,143.5,7.7,32.6,79,54,10.448
85.1,64.7,169.9,6.8,38.5,75,40,7.353
95.7,79.2,192.5,7.1,39.6,81,42,19.718
142.4,132.1,194.3,6.1,35.2,90,68,12.676
98.7,80.3,198.9,9.8,24.9,80,42,8.621
72.1,48.6,128.3,7.5,27.5,76,49,9.589
84.4,62.6,164.5,6.1,34.7,76,42,17.143
96.5,61.3,206.9,9.7,27.2,66,32,23.288
82.1,60.7,176.3,9.4,31.7,72,37,0
98.6,77,178.4,6.9,36.3,77,44,2.857
119.8,103.1,184.1,6.5,40.2,85,56,6.757
104,89.2,187.2,8.6,29.3,82,47,32.258
97.3,85.8,180.7,8.7,33.8,87,50,20
86,75.1,165.9,7.1,24.8,84,44,14.925
112.1,93.3,195.7,9.2,27.1,79,46,10.606
119.5,102.4,196.5,8.4,32.4,81,50,22.059
98.7,86.3,177.6,7.1,35,85,49,13.514
80.4,64,156.4,7.7,32.4,82,51,7.576
108.4,89.9,215.1,9.3,31.3,81,42,11.94
87.6,76.3,156.1,7.2,33.1,84,47,16.176
111,93.3,176.5,7.6,31.3,81,52,30
81.9,65.5,154,6.8,35.3,79,44,15.385
61.4,55,91,11.1,34.3,92,74,12.5
95.8,88,139.9,4.5,42.1,91,64,28.571
96.6,80.5,188.2,8,35.3,83,47,27.273
94.9,84.3,142.3,4,40.9,90,63,21.429
99.6,83.8,174.4,7.4,32.2,83,48,43.478
94.6,85.3,135.1,4.5,39.8,89,65,42.466
112.1,95.7,209.7,10.2,28.7,84,48,13.846
132.7,114.5,232.1,9.6,30.2,84,49,6.25
106.8,99.9,173.4,5.2,47,93,59,7.042
123.6,100.2,220.3,10.1,28,78,45,17.333
119.8,110.1,179.5,5.6,42.1,91,62,4.225
107.6,93.9,184,8.5,29.5,85,51,24.286
115.6,98.1,202.2,9.6,26.7,82,48,18.75
