NUM,DATE,SAMPLE,REPLICATE,ANIMAL,BATCH,SUB_1_RP,SUB_2_H,SUB_3_LS,SUB_4_LP,AI,PI,ALTO,FRAG_CRO,MOT_PRE,MOT_POS,CONC_CAMARA,VF,AD,VAP,VSL,VCL,ALH,BCF,STR,LIN,MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,CLIV,BLAST_D8,CELLS_COUNT
49,16/11/4476,136,26,NE116,200_05,30.29,5.16,40.45,24.1,77.7,37,58.9,1.57,60,70,19,90,0,87.6,75.8,168.4,7.2,38.3,86,46,39,32,35,4,14,47,82.716,42.045,226.333
50,11/08/2015,165,30,NE116,200_05,30.29,5.16,40.45,24.1,84.5,56.8,77.5,0.62,50,50,119,535,445,82.7,65.6,165.9,7.5,36.2,77,40,70,45,58,12,12,18,71.605,23.077,217.667
51,28/08/2015,193,34,NE116,200_05,30.29,5.16,40.45,24.1,81.1,18.9,74.7,2.43,65,75,35,236,146,90.9,69.8,189.9,8.1,32.1,78,40,59,42,54,5,14,27,72,14.667,117.4
52,19/11/2015,277,43,NE116,200_05,30.29,5.16,40.45,24.1,78,51.4,31.1,1.18,60,65,25,138,53,96.3,86.1,163,7.3,31.1,89,59,59,49,50,9,13,29,81.159,44.286,96
53,21/08/2015,187,33,NE147,020_05,27.65,29.35,32.08,10.92,92,75.3,78.5,0.021,45,75,47,317,227,84.1,67.3,153.2,6.4,34,78,45,34,21,27,7,24,42,65,6.41,.
54,15/09/2015,210,36,NE147,020_05,27.65,29.35,32.08,10.92,95,83.6,79.4,0.013,65,70,25,148,63,81.2,68,142.5,6.9,30.6,84,57,57,29,38,19,24,18,60.563,5.556,223.5
55,06/10/2015,234,39,NE147,020_05,27.65,29.35,32.08,10.92,93.4,74.7,76.8,0,70,65,20,111,26,67.5,58.8,113.8,5.5,33.2,86,56,24,13,14,10,14,62,70.423,7.042,.
56,19/11/2015,278,43,NE147,020_05,27.65,29.35,32.08,10.92,90.2,67.3,36.6,1.18,75,55,32,149,64,110.9,97.8,191.9,8.1,35,87,54,61,48,52,9,10,29,55.263,9.211,.
57,21/08/2015,183,33,NE209,160_04,7.76,27,29.47,35.77,87.8,68.1,76,0.027,70,60,31,164,74,110.4,94.1,174,6.8,34.6,82,54,64,43,54,10,17,19,73.75,7.407,.
58,08/10/2015,244,40,NE209,160_04,7.76,27,29.47,35.77,84.4,60.8,0.1,0.014,45,55,16,75,0,98.5,62.8,207.1,8.8,28.6,65,33,38,18,36,2,8,54,77.778,18.056,143
