AI,PI,ALTO,FRAG_CRO,MOT_PRE,MOT_POS,CONC_CAMARA,VF,AD,VAP,VSL,VCL,ALH,BCF,STR,LIN,MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,BLAST_D8
86.3,62.2,87.1,0.19,65,50,17,70,0,115.6,98.1,202.2,9.6,26.7,82,48,33,24,29,4,19,48,18.75
89,77.3,91.5,0.29,65,40,46,154,69,99.1,82.4,190.6,7.8,35.5,83,45,69,55,65,4,14,17,8.824
88.9,78.3,72.7,2.87,75,85,46,352,262,101.9,91.8,173.1,6.7,35.2,88,53,58,46,52,6,15,27,9.091
89.1,71.5,74.2,0.33,65,40,35,117,32,131.2,108.7,215.3,9.2,29.7,79,49,66,46,59,7,19,16,35.484
77,68,61.8,3.58,60,75,30,203,113,91.7,83.9,149.6,5.5,39.7,90,57,48,42,45,3,22,30,39.437
87.1,75.5,70.4,3.66,75,85,41,314,224,73.9,62.4,148.6,7.2,29.6,83,42,52,41,46,6,21,27,53.623
93.4,82.9,75.4,0.12,55,45,36,137,52,93.5,75.2,180.5,8.8,30,77,41,38,24,32,7,31,30,26.563
93.1,99.7,80.5,0.25,75,80,60,240,190,87.4,76.2,155.6,7.1,33.3,84,48,57,36,41,16,23,20,11.111
97.6,68.7,1.6,2.04,80,80,70,504,414,109.9,95.2,181.1,7.2,32.1,85,53,54,40,48,6,12,34,35.211
88.6,72.9,73.6,0.15,55,55,27,123,38,122.8,98.3,224.6,9.9,30,77,44,78,52,70,8,13,9,23.188
88,74.2,63.6,3.29,70,70,47,293,202,68.1,54,136.9,7.2,27.6,79,42,31,21,25,6,28,40,25.397
94.8,88.1,84.4,0.87,80,80,57,410,320,132.3,109.7,209.1,7.8,31.5,79,51,88,62,83,4,8,4,14.706
90.9,63.3,76.8,0.44,70,65,44,254,164,75.3,57.3,159.2,8.2,25.8,76,37,76,44,63,13,16,8,21.951
87.7,60.8,73,0.025,85,90,32,259,169,119.6,106,204.8,8.3,35.9,87,52,84,70,78,6,7,9,37.681
94.5,72.3,83.9,0.069,85,85,74,566,476,111.8,101,172.8,6.2,36.2,88,58,66,52,58,9,20,14,15.068
81.7,62.2,62.6,0.13,55,55,23,105,20,119.9,106.5,197.6,7.8,36.1,87,55,34,27,30,4,14,52,15.873
98.1,71.9,0.2,2.76,80,80,34,241,151,127.7,118.2,199.4,6.7,38.7,91,60,63,59,61,2,11,26,5.479
84.9,73.2,64.6,1.06,65,80,23,162,72,149.7,133.9,225.1,7.7,37.1,88,59,83,73,80,3,10,7,7.042
77.3,65.7,62.4,3.04,55,70,30,189,99,88.3,81.3,144.4,4.6,46.2,91,59,51,42,45,6,9,41,14.085
69.3,42.3,51.9,0.71,45,55,18,81,0,101.8,84.4,185.9,9.6,29,81,49,46,28,35,11,22,33,31.818
73,50.7,49,2.77,70,70,47,296,206,131.7,111.4,218.2,8.9,31.5,81,50,76,57,70,6,16,8,32.258
66.9,40.4,65,3.81,85,75,25,168,78,80.5,71.3,153.8,5.6,42.6,88,48,27,21,23,4,10,63,32.468
65.4,36.9,59.8,0.48,40,70,10,57,0,93.5,81,169.6,6.9,36.8,84,48,35,27,31,4,10,55,12.941
69,56,50.5,0.94,50,60,21,111,21,131.7,111.4,218.2,8.9,31.5,81,50,76,57,70,6,16,8,11.475
85,49.9,1.3,2.48,60,75,29,192,102,111,102,177.1,6.4,37.1,90,59,46,40,43,3,11,43,11.268
85.2,57.9,75.3,1.48,55,45,24,90,5,99.9,79.2,200.3,9.2,31.9,78,40,51,37,46,5,22,27,11.667
90.9,66.7,71.1,0.49,90,80,50,360,270,135.5,122.6,214.2,8,37.7,87,56,80,68,74,6,15,5,-
-,-,-,3.16,60,75,63,421,331,119.3,104.3,200.4,7.7,34.2,86,53,67,57,65,2,5,28,8.571
95.5,72.9,73.5,0.11,60,45,23,88,3,95.6,77.3,175.1,9.7,23.7,78,44,20,13,17,3,29,51,51.852
95.9,82.5,60.2,0,55,45,32,120,35,79.6,60.1,168.7,9.3,20.3,76,37,50,35,47,3,16,34,29.032
96.3,85.7,77.3,0.22,70,75,52,348,258,141.4,129.1,217.4,7.8,38.1,89,58,79,68,73,6,17,4,47.761
95.6,91.8,82.5,0.065,75,80,17,122,32,93.3,87.9,143.9,4.7,41.8,93,62,68,66,67,2,8,24,24.051
90.9,74,68,0.084,70,50,29,128,38,90.7,80.6,140.4,4.4,41.2,87,59,23,16,18,5,21,56,15.152
91.7,81.7,82.3,1.57,90,75,28,189,99,93.4,85.2,158.5,5.4,42.6,90,55,62,57,60,3,11,27,24.638
92.9,81.7,72.9,0.087,65,60,36,194,104,91.4,83.4,143.9,4.5,43.3,89,59,66,59,63,3,28,6,16.667
94.7,83.4,77.5,0.11,50,70,18,113,23,107.7,99,154.1,4.9,37.1,90,66,42,34,38,4,38,21,20.313
81.1,69.7,61.8,1.52,85,75,39,263,173,105.9,98.2,171.9,6.2,38.9,91,57,56,50,51,5,17,28,10
62.7,94.6,47.6,1.32,80,90,25,113,63,70.1,61.1,122.3,5.4,35.1,87,52,78,52,59,18,9,13,31.429
76.2,53.7,51,2.61,80,80,23,162,72,94.2,74.1,169.5,7.8,31.6,76,44,74,48,67,7,12,14,33.333
81.9,59.9,58.3,3.56,60,75,45,303,213,89.5,82.4,142.9,5.3,38.9,91,58,59,49,52,7,11,31,28.378
70.8,97,44.6,0.44,50,75,38,141,91,114.9,106.6,176.8,6.8,34.2,91,60,83,77,80,3,6,12,30.769
74.6,48.8,39.2,3.81,70,80,42,299,209,81.2,64.7,144.8,6.9,31,78,45,71,46,60,12,17,11,20.27
